Descriptor,Family,Model,Q2(LOGO),MAE(cv),RMSE(cv),n_samples,n_groups
homo_boltz,Linear/Regularized,LassoCV,0.25203964979255966,0.8244339260875294,1.0302172823841453,6889,10
homo_boltz,Linear/Regularized,ElasticNetCV,0.2526421229229362,0.8256394189208935,1.0298022849390918,6889,10
homo_boltz,Linear/Regularized,BayesianRidge,0.25784104601637237,0.8219992372291693,1.0262141737543924,6889,10
homo_boltz,Kernel/Neighbors,LinearSVR,0.23590671385114548,0.8044009522591749,1.04126851031392,6889,10
homo_boltz,Kernel/Neighbors,SVR_RBF,0.8898746205747938,0.28789559505432655,0.3953058595197196,6889,10
homo_boltz,Kernel/Neighbors,SVR_Poly3,0.41304997668631394,0.7038088784824327,0.9126202584512374,6889,10
homo_boltz,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.908185744587951,0.2653153191253134,0.3609479679983279,6889,10
homo_boltz,Kernel/Neighbors,"kNN(k=5,dist)",0.9076818656947601,0.2617775198725194,0.36193705848240765,6889,10
homo_boltz,Tree Ensembles,RandomForest,0.9465488269824758,0.19169120946248971,0.27540268067146323,6889,10
homo_boltz,Tree Ensembles,GradientBoosting,0.9364578664602978,0.22257278750233697,0.3002758737961519,6889,10
homo_boltz,Tree Ensembles,DecisionTree,0.9284440368546585,0.22825176123982038,0.318648925837529,6889,10
homo_boltz,Tree Ensembles,ExtraTrees,0.9394540980678149,0.21144784104559383,0.29311086662308256,6889,10
homo_boltz,Tree Ensembles,HistGradientBoosting,0.9461952741483004,0.1957386402360292,0.2763120051130639,6889,10
homo_boltz,Neural,MLP(100),0.9301725569588067,0.24546317156957959,0.314776724998635,6889,10
homo_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,0.6157814602530413,0.39447552899843946,0.7383779202944395,6889,10
lumo_boltz,Linear/Regularized,Linear Regression,0.2645440501334787,0.8203980552273287,1.0215694005082292,6889,10
lumo_boltz,Linear/Regularized,RidgeCV,0.26456091248129077,0.8204860732997917,1.0215576892988165,6889,10
lumo_boltz,Linear/Regularized,LassoCV,0.2634619436869202,0.8223864195509765,1.0223206627086827,6889,10
lumo_boltz,Linear/Regularized,ElasticNetCV,0.2625490942811438,0.8287551670582847,1.0229539876440574,6889,10
lumo_boltz,Linear/Regularized,BayesianRidge,0.2645024259344755,0.8207728715135192,1.0215983087021179,6889,10
lumo_boltz,Kernel/Neighbors,LinearSVR,0.23136087153457185,0.8063043941780648,1.0443613415204593,6889,10
lumo_boltz,Kernel/Neighbors,SVR_RBF,0.9301107961064886,0.22862842865013197,0.31491590080918214,6889,10
lumo_boltz,Kernel/Neighbors,SVR_Poly3,0.46111005485448875,0.6542736076942943,0.8744592642939653,6889,10
lumo_boltz,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.9266434764984778,0.24259794972216697,0.3226330944162228,6889,10
lumo_boltz,Kernel/Neighbors,"kNN(k=5,dist)",0.9110103957233633,0.25351736453304363,0.3553523409028794,6889,10
lumo_boltz,Tree Ensembles,RandomForest,0.9170125737306807,0.2543385721441261,0.34315923489969,6889,10
lumo_boltz,Tree Ensembles,GradientBoosting,0.9102873286063025,0.2723527546764954,0.35679309214925337,6889,10
lumo_boltz,Tree Ensembles,DecisionTree,0.8943704429721244,0.2883426697155798,0.38715268203139164,6889,10
lumo_boltz,Tree Ensembles,ExtraTrees,0.9085615439787789,0.26518507229153426,0.3602085234002935,6889,10
lumo_boltz,Tree Ensembles,HistGradientBoosting,0.9107524064412149,0.26535105842510764,0.3558670681403018,6889,10
lumo_boltz,Neural,MLP(100),0.922548303162222,0.24708910497260989,0.3315163952112165,6889,10
lumo_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,0.8990327886743781,0.28622200515534224,0.3785120619855843,6889,10
nbo_boltz,Linear/Regularized,Linear Regression,0.2778432188819905,0.8147842800451318,1.0122907998249884,6889,10
nbo_boltz,Linear/Regularized,RidgeCV,0.27786226755687415,0.8148619191613876,1.0122774488976016,6889,10
nbo_boltz,Linear/Regularized,LassoCV,0.27829926756262,0.8145465993189963,1.0119711138485894,6889,10
nbo_boltz,Linear/Regularized,ElasticNetCV,0.27802996779106437,0.815473303905121,1.0121599027464665,6889,10
nbo_boltz,Linear/Regularized,BayesianRidge,0.27781739325058363,0.8151034469402555,1.0123089003372523,6889,10
nbo_boltz,Kernel/Neighbors,LinearSVR,0.24572927960644453,0.8024334278410705,1.0345540082471707,6889,10
nbo_boltz,Kernel/Neighbors,SVR_RBF,0.9329104575262614,0.23677195845065105,0.3085438952592654,6889,10
nbo_boltz,Kernel/Neighbors,SVR_Poly3,0.4853311768906877,0.6426178814279272,0.8545814733854987,6889,10
nbo_boltz,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.9224993375490596,0.25007817570794927,0.33162117237810745,6889,10
nbo_boltz,Kernel/Neighbors,"kNN(k=5,dist)",0.9144212709394917,0.24426962179773376,0.3484756679264006,6889,10
nbo_boltz,Tree Ensembles,RandomForest,0.9494217152093177,0.18543645616110094,0.2678993079366427,6889,10
nbo_boltz,Tree Ensembles,GradientBoosting,0.9353213948089915,0.22655198999966178,0.3029492389296971,6889,10
nbo_boltz,Tree Ensembles,DecisionTree,0.9393928199056311,0.203822997033145,0.2932591570301699,6889,10
nbo_boltz,Tree Ensembles,ExtraTrees,0.9316026769133868,0.22136894254786038,0.31153661397952515,6889,10
nbo_boltz,Tree Ensembles,HistGradientBoosting,0.9484400197228626,0.19255775668631891,0.2704866992528664,6889,10
nbo_boltz,Neural,MLP(100),0.9265020402475934,0.24559186669276264,0.32294397365979816,6889,10
nbo_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,0.9045240597877822,0.25895455802334033,0.3680751645223667,6889,10
